test,date,snumber,sname,qnumber,qname1,qname2,example1,example2,example3,example4,answer,explain
"previous","220305",1,"소프트웨어설계",1,"시스템의 구성요소로 볼 수 없는 것은?","","① Process","② Feedback","③ Maintenance","④ Control","③ Maintenance","Maintenance는 시스템의 구성요소가 아니라 시스템을 유지하고 보수하는 활동입니다."
"previous","220305",1,"소프트웨어설계",2,"유스케이스(Usecase)에 대한 설명 중 옳은 것은?","","① 유스케이스 다이어그램은 개발자의 요구를 추출하고 분석하기 위해 주로 사용한다.","② 액터는 대상 시스템과 상호 작용하는 사람이나 다른 시스템에 의한 역할이다.","③ 사용자 액터는 본 시스템과 데이터를 주고받는 연동 시스템을 의미한다.","④ 연동의 개념은 일방적으로 데이터를 파일이나 정해진 형식으로 넘겨주는 것을 의미한다.","② 액터는 대상 시스템과 상호 작용하는 사람이나 다른 시스템에 의한 역할이다.","액터는 유스케이스와 상호작용하는 사람, 기기, 시스템 등 실체를 의미합니다."
"previous","220305",1,"소프트웨어설계",3,"요구사항 개발 프로세스의 순서로 옳은 것은?","https://firebasestorage.googleapis.com/v0/b/kh-basic-frontend-react-f5a7b.firebasestorage.app/o/DEVOLT%2FEXAM%2FPREVIOUS%2F210515%2FDEVOLT_EXAM_MOCK_210515_03.gif?alt=media","① ㉠ - ㉡ - ㉢ - ㉣","② ㉠ - ㉢ - ㉡ - ㉣","③ ㉠ - ㉣ - ㉡ - ㉢","④ ㉠ - ㉡ - ㉣ - ㉢","① ㉠ - ㉡ - ㉢ - ㉣","요구사항 개발 프로세스는 요구사항 수집, 요구사항 분석, 요구사항 명세, 요구사항 검증의 순서로 이루어집니다."
"previous","220305",1,"소프트웨어설계",4,"객체지향 기법에서 같은 클래스에 속한 각각의 객체를 의미하는 것은?","","① instance","② message","③ method","④ module","① instance","instance는 클래스를 기반으로 생성된 개별적인 객체를 의미하며, 각각의 인스턴스는 서로 다른 상태와 행동을 가지고 있습니다."
"previous","220305",1,"소프트웨어설계",5,"객체지향 설계에서 객체가 가지고 있는 속성과 오퍼레이션의 일부를 감추어서 객체의 외부에서는 접근이 불가능하게 하는 개념은?","","① 조직화(Organizing)","② 캡슐화(Encapsulation)","③ 정보은닉(Infomation Hiding)","④ 구조화(Structuralization)","③ 정보은닉(Infomation Hiding)","정보은닉은 객체의 내부 구현을 외부에 감추어서 객체의 불필요한 접근을 막고, 객체의 안정성과 보안성을 높이기 위한 개념입니다. (가답안은 3번으로 발표되었지만, 확정답안은 2/3번이 모두 정답처리 된 문항입니다.)"
"previous","220305",1,"소프트웨어설계",6,"GoF (Gangs of Four) 디자인 패턴에 대한 설명으로 틀린 것은?","","① factory method pattern은 상위클래스에서 객체를 생성하는 인터페이스를 정의하고, 하위클래스에서 인스턴스를 생성하도록 하는 방식이다.","② prototype pattem은 prototype을 먼저 생성하고 인스턴스를 복제하여 사용하는 구조이다.","③ bridge pattem은 기존에 구현되어 있는 클래스에 기능 발생 시 기존 클래스를 재사용할 수 있도록 중간에서 맞춰주는 역할을 한다.","④ mediator pattem은 객체간의 통제와 지시의 역할을 하는 중재자를 두어 객체지향의 목표를 달성하게 해준다.","③ bridge pattem은 기존에 구현되어 있는 클래스에 기능 발생 시 기존 클래스를 재사용할 수 있도록 중간에서 맞춰주는 역할을 한다.","bridge 패턴은 구현과 추상화를 분리하여 변경에 유연한 시스템을 만드는 패턴입니다."
"previous","220305",1,"소프트웨어설계",7,"요구사항 분석이 어려운 이유가 아닌 것은?","","① 개발자와 사용자 간의 지식이나 표현의 차이가 커서 상호 이해가 쉽지 않다.","② 사용자의 요구는 예외가 거의 없어 열거와 구조화가 어렵지 않다.","③ 사용자의 요구사항이 모호하고 불명확하다.","④ 소프트웨어 개발 과정 중에 요구사항이 계속 변할 수 있다.","② 사용자의 요구는 예외가 거의 없어 열거와 구조화가 어렵지 않다.","사용자의 요구사항은 일반적으로 예외가 많고, 불완전하며, 변경될 수 있는 특징을 가지고 있습니다."
"previous","220305",1,"소프트웨어설계",8,"소프트웨어 아키텍처 설계에서 시스템 품질속성이 아닌 것은?","","① 가용성 (Availability)","② 독립성 (Isolation)","③ 변경 용이성 (Modifiability)","④ 사용성(Usability)","② 독립성 (Isolation)","독립성은 시스템의 모듈성과 관련된 개념으로, 소프트웨어 아키텍처 설계에서 고려할 수 있는 품질속성이지만, 시스템 품질속성으로 분류되지는 않습니다."
"previous","220305",1,"소프트웨어설계",9,"다음 설명에 해당하는 시스템으로 옳은 것은?","https://firebasestorage.googleapis.com/v0/b/kh-basic-frontend-react-f5a7b.firebasestorage.app/o/DEVOLT%2FEXAM%2FPREVIOUS%2F210515%2FDEVOLT_EXAM_MOCK_210515_09.gif?alt=media","① 연계 서버","② 중계 서버","③ 송신 시스템","④ 수신 시스템","③ 송신 시스템","송신 시스템은 메시지를 작성하고, 연계 서버를 통해 중계 서버로 메시지를 전송하며, 최종적으로 수신 시스템으로 메시지를 전달합니다."
"previous","220305",1,"소프트웨어설계",10,"CASE(Computer-Aided Software Engineering)의 원천 기술이 아닌 것은?","","① 구조적 기법","② 프로토타이핑 기술","③ 정보 저장소 기술","④ 일괄처리 기술","④ 일괄처리 기술","일괄처리 기술은 데이터 처리 방식의 하나로, 일정 시간 동안 발생한 데이터를 한꺼번에 처리하는 방식으로, 소프트웨어 개발과는 직접적인 관련이 없습니다."
"previous","220305",1,"소프트웨어설계",11,"객체에게 어떤 행위를 하도록 지시하는 명령은?","","① Class","② Package","③ Object","④ Message","④ Message","객체에게 어떤 행위를 하도록 지시하는 명령은 메시지(message)입니다."
