test,date,snumber,sname,qnumber,qname1,qname2,example1,example2,example3,example4,answer,explain
"previous","220305",1,"소프트웨어설계",1,"요구사항 분석 시에 필요한 기술로 가장 거리가 먼 것은?","","① 청취과 인터뷰 질문 기술","② 분석과 중재기술","③ 설계 및 코딩 기술","④ 관찰 및 모델 작성 기술","③ 설계 및 코딩 기술","설계 및 코딩 기술은 요구사항을 구현하기 위한 기술입니다."
"previous","220305",1,"소프트웨어설계",2,"다음 내용이 설명하는 디자인 패턴은?","https://firebasestorage.googleapis.com/v0/b/kh-basic-frontend-react-f5a7b.firebasestorage.app/o/DEVOLT%2FEXAM%2FPREVIOUS%2F200822%2FDEVOLT_EXAM_MOCK_200822_02.gif?alt=media","① Visitor패턴","② Observer패턴","③ Factory Method 패턴","④ Bridge 패턴","③ Factory Method 패턴","Factory Method 패턴은 객체를 생성하는 인터페이스를 정의하고, 이를 서브클래스에서 구현하여 객체를 생성하는 패턴입니다."
"previous","220305",1,"소프트웨어설계",3,"럼바우 객체 지향 분석과 거리가 먼 것은?","","① 기능 모델링","② 동적 모델링","③ 객체 모델링","④ 정적 모델링","④ 정적 모델링","정적 모델링은 시스템의 구조와 구성을 표현하는 모델링 방법인 반면, 럼바우 객체 지향 분석은 시스템의 기능과 동작을 표현하는 모델링 방법입니다."
"previous","220305",1,"소프트웨어설계",4,"애자일 기법에 대한 설명으로 맞지 않은 것은?","","① 절차와 도구보다 개인과 소통을 중요하게 생각한다.","② 계획에 중점을 두어 변경 대응이 난해하다.","③ 소프트웨어가 잘 실행되는데 가치를 둔다.","④ 고객과의 피드백을 중요하게 생각한다.","② 계획에 중점을 두어 변경 대응이 난해하다.","애자일 기법은 반복적이고 점진적인 개발을 통해 고객의 요구사항을 빠르게 반영하는 것을 목표로 하기 때문에 계획에 중점을 두기보다는 **변화에 유연하게 대응**할 수 있도록 합니다."
"previous","220305",1,"소프트웨어설계",5,"미들웨어 솔루션의 유형에 포함되지 않는 것은?","","① WAS","② Web Server","③ RPC","④ ORB","② Web Server","Web Server는 클라이언트의 요청을 받아 처리하고, 응답을 전송하는 소프트웨어입니다. 애플리케이션과 하드웨어 플랫폼 사이에서 소프트웨어 계층을 제공하지 않으므로, 미들웨어 솔루션의 범주에 포함되지 않습니다."
"previous","220305",1,"소프트웨어설계",6,"UML에서 시퀀스 다이어그램의 구성 항목에 해당하지 않는 것은?","","① 생명선","② 실행","③ 확장","④ 메시지","③ 확장","확장은 시퀀스 다이어그램의 일부를 다른 다이어그램으로 대체하여 표현합니다."
"previous","220305",1,"소프트웨어설계",7,"객체지향에서 정보 은닉과 가장 밀접한 관계가 있는 것은?","","① Encapsulation","② Class","③ Method","④ Instance","① Encapsulation","Encapsulation은 객체의 데이터와 메소드를 한 곳에 모아놓는 것을 의미합니다. 이렇게 하면 객체의 데이터가 외부에서 접근할 수 없도록 보호할 수 있습니다."
"previous","220305",1,"소프트웨어설계",8,"디자인 패턴 중에서 행위적 패턴에 속하지 않는 것은?","","① 커맨드 (Command) 패턴","② 옵저버 (Obseerver) 패턴","③ 프로토타입 (Prototype) 패턴","④ 상태 (State) 패턴","③ 프로토타입 (Prototype) 패턴","프로토타입 패턴은 새로운 객체를 기존 객체의 복사본으로 생성하는 패턴으로, 패턴이 아닌 생성 패턴에 속합니다."
"previous","220305",1,"소프트웨어설계",9,"UI 설계 원칙 중 누구나 쉽게 이해하고 사용할 수 있어야 한다는 원칙은?","","① 희소성","② 유연성","③ 직관성","④ 멀티운용성","③ 직관성","직관성은 사용자가 쉽게 이해하고 사용할 수 있는 인터페이스를 제공하는 것을 의미합니다."
"previous","220305",1,"소프트웨어설계",10,"코드의 기본 기능으로 거리가 먼 것은?","","① 복잡성","② 표준화","③ 분류","④ 식별","① 복잡성","복잡성은 코드의 품질을 평가하는 요소 중 하나이지만, 코드의 기본 기능은 아닙니다."
"previous","220305",1,"소프트웨어설계",11,"다음 ( ) 안에 들어갈 내용으로 옳은 것은?","https://firebasestorage.googleapis.com/v0/b/kh-basic-frontend-react-f5a7b.firebasestorage.app/o/DEVOLT%2FEXAM%2FPREVIOUS%2F200822%2FDEVOLT_EXAM_MOCK_200822_11.gif?alt=media","① 협약(Contract)","② 프로토콜(Protocol)","③ 패턴(Pattern)","④ 관계(Relation)","① 협약(Contract)","클래스에 대한 여러 가정을 공유하도록 명세한 것을 협약에 의한 설계(Design by Contract)라고 합니다."
"previous","220305",1,"소프트웨어설계",12,"UML에서 활용되는 다이어그램 중, 시스템의 동작을 표현하는 행위(Behavioral) 다이어그램에 해당하지 않는 것은?","","① 유스케이스 다이어그램(Use Case Diagram)","② 시퀀스 다이어그램(Sequence Diagram)","③ 활동 다이어그램(Activity Diagram)","④ 배치 다이어그램(Deployment Diagram)","④ 배치 다이어그램(Deployment Diagram)","배치(Deployment) 다이어그램은 구조적(Structural) 다이어그램에 해당합니다."
"previous","220305",1,"소프트웨어설계",13,"객체 지향 소프트웨어 공학에서 하나 이상의 유사한 객체들을 묶어서 하나의 공통된 특성을 표현한 것은?","","① 트랜지션","② 클래스","③ 시퀀스","④ 서브루틴","② 클래스","클래스는 객체 지향 프로그래밍의 기본 단위로, 객체의 속성(attribute)과 메서드(method)를 정의합니다. 클래스는 유사한 객체들을 묶어서 하나의 공통된 특성을 표현하기 때문에, 객체지향 설계와 구현에서 중요한 역할을 합니다."
"previous","220305",1,"소프트웨어설계",14,"아래의 UML 모델에서 '차' 클래스와 각 클래스의 관계로 옳은 것은?","https://firebasestorage.googleapis.com/v0/b/kh-basic-frontend-react-f5a7b.firebasestorage.app/o/DEVOLT%2FEXAM%2FPREVIOUS%2F200822%2FDEVOLT_EXAM_MOCK_200822_14.gif?alt=media","① 추상화 관계","② 의존 관계","③ 일반화 관계","④ 그룹 관계","③ 일반화 관계","'차' 클래스는 '승용차', '트럭', '버스' 클래스들의 공통적인 특성을 가지고 있으므로, 이들 클래스들과 '일반화 관계'를 가집니다. 이 관계는 상위 클래스인 '차'가 하위 클래스인 '승용차', '트럭', '버스'들의 공통적인 특성을 상속받는 것을 의미합니다."
"previous","220305",1,"소프트웨어설계",15,"객체지향 소프트웨어 설계시 디자인 패턴을 구성하는 요소로서 가장 거리가 먼 것은?","","① 개발자 이름","② 문제 및 배경","③ 사례","④ 샘플코드","① 개발자 이름","디자인 패턴은 누구나 사용할 수 있는 공유 자산으로, 개발자 이름은 디자인 패턴을 구성하는 요소가 아닙니다."
"previous","220305",1,"소프트웨어설계",16,"자료 사전에서 자료의 반복을 의미하는 것은?","","① =","② ( )","③ { }","④ [ ]","③ { }","자료 사전에서 { }는 자료의 배열을 의미합니다. 배열은 동일한 종류의 데이터를 순차적으로 나열한 것으로, 반복을 나타내기 위해 사용됩니다."
"previous","220305",1,"소프트웨어설계",17,"객체지향 설계 원칙 중, 서브타입(상속받은 하위 클래스)은 어디에서나 자신의 기반타입(상위클래스)으로 교체할 수 있어야 함을 의미하는 원칙은?","","① ISP(Interface Segregation Principle)","② DIP(Dependency Inversion Principle)","③ LSP(Liskov Substitution Principle)","④ SRP(Single Responsibility Principle)","③ LSP(Liskov Substitution Principle)","리스코프 치환 원칙은 객체 지향 설계의 5원칙 중 하나로, 서브타입은 기반타입과 동일한 역할을 수행할 수 있어야 한다는 원칙입니다."
"previous","220305",1,"소프트웨어설계",18,"자료흐름도(Data Flow Diagram)의 구성요소로 옳은 것은?","","① process, data flow, data store, comment","② process, data flow, data store, terminator","③ data flow, data store, terminator, data dictionary","④ process, data store, terminator, mini-spec","② process, data flow, data store, terminator","자료흐름도는 process(처리), data flow(자료흐름), data store(자료저장소), terminator(종료점)의 구성요소로 이루어져 있습니다."
"previous","220305",1,"소프트웨어설계",19,"CASE(Computer-Aided Software Engineering)도구에 대한 설명으로 거리가 먼 것은?","","① 소프트웨어 개발 과정의 일부 또는 전체를 자동화하기 위한 도구이다.","② 표준화된 개발 환경 구축 및 문서 자동화 기능을 제공한다.","③ 작업 과정 및 데이터 공유를 통해 작업자간 커뮤니케이션을 증대한다.","④ 2000년대 이후 소개되었으며, 객체지향 시스템에 한해 효과적으로 활용된다.","④ 2000년대 이후 소개되었으며, 객체지향 시스템에 한해 효과적으로 활용된다.","CASE 도구는 1970년대부터 개발되기 시작했으며, 1980년대부터 본격적으로 사용되기 시작했습니다. 또한, CASE 도구는 객체지향 시스템뿐만 아니라 절차적 시스템, 하이브리드 시스템 등 다양한 시스템의 개발에 활용될 수 있습니다."
"previous","220305",1,"소프트웨어설계",20,"인터페이스 요구 사항 검토 방법에 대한 설명이 옳은 것은?","","① 리팩토링 : 작성자 이외의 전문 검토 그룹이 요구사항 명세서를 상세히 조사하여 결함, 표준 위배, 문제점 등을 파악","② 동료검토 : 요구 사항 명세서 작성자가 요구 사항 명세서를 설명하고 이해관계자들이 설명을 들으면서 결함을 발견","③ 인스펙션 : 자동화된 요구 사항 관리 도구를 이용하여 요구 사항 추적성과 일관성을 검토","④ CASE 도구 : 검토 자료를 회의 전에 배포해서 사전 검토한 후 짧은 시간 동안 검토 회의를 진행하면서 결함을 발견","② 동료검토 : 요구 사항 명세서 작성자가 요구 사항 명세서를 설명하고 이해관계자들이 설명을 들으면서 결함을 발견","인터페이스 요구 사항 검토 방법 중 동료검토는 요구 사항 명세서 작성자가 요구 사항 명세서를 설명하고 이해관계자들이 설명을 들으면서 결함을 발견하는 방법입니다. 즉, 작성자와 다른 동료들이 함께 모여 요구 사항 명세서를 검토하고, 작성자가 설명하면서 이해관계자들이 의견을 내고 결함을 발견하는 방법입니다."
"previous","220305",2,"소프트웨어개발",21,"인터페이스 보안을 위해 네트워크 영역에 적용될 수 있는 솔루션과 거리가 먼 것은?","","① IPSec","② SSL","③ SMTP","④ S-HTTP","③ SMTP","SMTP는 Simple Mail Transfer Protocol의 약자로, 이메일을 전송하기 위한 프로토콜입니다. SMTP는 데이터를 암호화하지 않고 전송하므로, 인터페이스 보안을 위한 솔루션으로 적합하지 않습니다."
