test,date,snumber,sname,qnumber,qname1,qname2,example1,example2,example3,example4,answer,explain
"mock",000000,5,"정보시스템구축관리",1,"정보시스템 구축 프로젝트에서 요구사항 분석 단계의 주요 목적은 무엇인가?","","① 사용자의 요구를 명확히 파악하는 것","② 시스템 설계 방향을 결정하는 것","③ 시스템의 성능을 예측하는 것","④ 시스템 테스트 계획을 세우는 것","① 사용자의 요구를 명확히 파악하는 것","요구사항 분석 단계에서는 시스템의 요구를 명확히 파악하는 것이 가장 중요한 목적입니다."
"mock",000000,5,"정보시스템구축관리",2,"시스템 구축에서 시스템 설계 단계의 주요 활동은 무엇인가?","","① 시스템의 구조를 설계하는 것","② 시스템의 테스트 계획을 세우는 것","③ 요구사항을 분석하는 것","④ 시스템을 구현하는 것","① 시스템의 구조를 설계하는 것","시스템 설계 단계에서는 시스템의 구조와 아키텍처를 설계합니다."
"mock",000000,5,"정보시스템구축관리",3,"프로젝트 관리에서 Gantt 차트의 주요 기능은 무엇인가?","","① 프로젝트 일정 관리","② 리스크 분석","③ 자원 배분 최적화","④ 품질 관리","① 프로젝트 일정 관리","Gantt 차트는 프로젝트의 일정 관리를 돕는 중요한 도구입니다."
"mock",000000,5,"정보시스템구축관리",4,"시스템 테스트에서 가장 중요한 목표는 무엇인가?","","① 시스템이 요구사항을 만족하는지 검증하는 것","② 시스템의 성능을 개선하는 것","③ 시스템의 보안성을 강화하는 것","④ 시스템을 운영 환경에 배포하는 것","① 시스템이 요구사항을 만족하는지 검증하는 것","시스템 테스트의 목표는 시스템이 요구사항을 제대로 만족하는지를 확인하는 것입니다."
"mock",000000,5,"정보시스템구축관리",5,"SDLC(Software Development Life Cycle)에서 유지보수 단계의 주요 활동은 무엇인가?","","① 시스템 수정 및 업그레이드","② 시스템 설계","③ 요구사항 분석","④ 시스템 배포","① 시스템 수정 및 업그레이드","유지보수 단계에서는 시스템의 수정 및 업그레이드가 이루어집니다."
"mock",000000,5,"정보시스템구축관리",6,"시스템 구축의 프로젝트 리스크를 관리하는 첫 번째 단계는 무엇인가?","","① 리스크 식별","② 리스크 분석","③ 리스크 대응 계획 수립","④ 리스크 모니터링","① 리스크 식별","리스크 관리의 첫 번째 단계는 잠재적인 리스크를 식별하는 것입니다."
"mock",000000,5,"정보시스템구축관리",7,"정보시스템 구축에서 벤치마킹의 목적은 무엇인가?","","① 경쟁 시스템과 비교하여 개선점을 찾는 것","② 시스템의 보안을 강화하는 것","③ 시스템을 빠르게 구축하는 것","④ 시스템의 성능을 분석하는 것","① 경쟁 시스템과 비교하여 개선점을 찾는 것","벤치마킹은 경쟁 시스템과 비교하여 개선점을 찾는 데 사용됩니다."
"mock",000000,5,"정보시스템구축관리",8,"프로젝트의 범위 관리에서 중요한 것은 무엇인가?","","① 프로젝트의 목표와 범위를 정의하고 통제하는 것","② 프로젝트 일정을 관리하는 것","③ 자원을 배분하는 것","④ 품질을 관리하는 것","① 프로젝트의 목표와 범위를 정의하고 통제하는 것","범위 관리에서는 프로젝트의 목표와 범위를 명확히 정의하고 통제하는 것이 중요합니다."
"mock",000000,5,"정보시스템구축관리",9,"ITIL(IT Infrastructure Library)에서 서비스 운영 단계의 주요 활동은 무엇인가?","","① 서비스 제공을 관리하고 운영하는 것","② 서비스 설계를 하는 것","③ 서비스 전략을 수립하는 것","④ 서비스 배포 계획을 세우는 것","① 서비스 제공을 관리하고 운영하는 것","서비스 운영 단계에서는 서비스 제공을 효율적으로 관리하고 운영합니다."
"mock",000000,5,"정보시스템구축관리",10,"프로젝트 관리에서 'WBS'의 주요 목적은 무엇인가?","","① 작업을 분해하여 관리 가능한 단위로 만드는 것","② 프로젝트 일정 관리","③ 자원의 분배","④ 리스크 분석","① 작업을 분해하여 관리 가능한 단위로 만드는 것","WBS(Work Breakdown Structure)는 작업을 작은 단위로 분해하여 관리하는 데 사용됩니다."
"mock",000000,5,"정보시스템구축관리",11,"시스템 구축에서 사용자 교육의 주요 목적은 무엇인가?","","① 사용자가 시스템을 올바르게 사용하는 것","② 시스템 보안을 강화하는 것","③ 시스템의 성능을 분석하는 것","④ 시스템 테스트를 하는 것","① 사용자가 시스템을 올바르게 사용하는 것","사용자 교육의 목표는 사용자가 시스템을 올바르게 사용하는 것입니다."
"mock",000000,5,"정보시스템구축관리",12,"프로젝트 계획 수립에서 가장 중요한 요소는 무엇인가?","","① 목표와 일정의 명확화","② 자원의 배분","③ 리스크 분석","④ 품질 관리 계획","① 목표와 일정의 명확화","프로젝트 계획 수립에서 목표와 일정을 명확히 하는 것이 가장 중요합니다."
"mock",000000,5,"정보시스템구축관리",13,"시스템 구축에서 변경 관리의 목적은 무엇인가?","","① 시스템 변경을 체계적으로 관리하는 것","② 시스템 성능을 향상시키는 것","② 시스템 보안을 강화하는 것","④ 프로젝트 일정을 관리하는 것","① 시스템 변경을 체계적으로 관리하는 것","변경 관리는 시스템 변경을 체계적으로 관리하고, 예기치 않은 영향을 최소화하는 것을 목표로 합니다."
"mock",000000,5,"정보시스템구축관리",14,"시스템 구축에서 요구사항 검증의 주된 방법은 무엇인가?","","① 요구사항이 충족되었는지 확인하는 것","② 요구사항을 수정하는 것","③ 시스템을 구현하는 것","④ 테스트 계획을 수립하는 것","① 요구사항이 충족되었는지 확인하는 것","요구사항 검증은 요구사항이 제대로 충족되었는지 확인하는 과정입니다."
"mock",000000,5,"정보시스템구축관리",15,"프로젝트 품질 관리에서 품질 보증 활동의 주요 목적은 무엇인가?","","① 시스템의 품질을 지속적으로 개선하는 것","② 시스템의 성능을 테스트하는 것","③ 자원의 효율적인 사용을 관리하는 것","④ 프로젝트 일정과 범위를 관리하는 것","① 시스템의 품질을 지속적으로 개선하는 것","품질 보증은 시스템 품질을 지속적으로 개선하고 관리하는 활동입니다."
"mock",000000,5,"정보시스템구축관리",16,"정보시스템 구축에서 ‘서비스 레벨 협약(SLA)’의 목적은 무엇인가?","","① 서비스 제공자의 성과를 측정하고 관리하는 것","② 서비스 비용을 계산하는 것","③ 시스템의 보안을 강화하는 것","④ 프로젝트 일정을 관리하는 것","① 서비스 제공자의 성과를 측정하고 관리하는 것","SLA는 서비스 제공자의 성과를 측정하고 관리하는 데 사용됩니다."
"mock",000000,5,"정보시스템구축관리",17,"시스템 구축에서 '표준화'의 주요 목적은 무엇인가?","","① 시스템의 일관성과 효율성을 높이는 것","② 시스템의 보안을 강화하는 것","③ 시스템 성능을 분석하는 것","④ 프로젝트 일정을 관리하는 것","① 시스템의 일관성과 효율성을 높이는 것","표준화는 시스템의 일관성과 효율성을 높이기 위해 중요합니다."
"mock",000000,5,"정보시스템구축관리",18,"시스템 구축에서 ‘시스템 인수 테스트’의 주요 목적은 무엇인가?","","① 시스템이 요구사항을 충족하는지 최종 확인하는 것","② 시스템 성능을 테스트하는 것","③ 시스템의 보안을 평가하는 것","④ 시스템을 배포하는 것","① 시스템이 요구사항을 충족하는지 최종 확인하는 것","시스템 인수 테스트는 시스템이 요구사항을 충족하는지 최종 확인하는 단계입니다."
"mock",000000,5,"정보시스템구축관리",19,"시스템 구축에서 요구사항 관리의 주요 목적은 무엇인가?","","① 요구사항의 변경을 통제하고 추적하는 것","② 시스템 성능을 향상시키는 것","③ 시스템 보안을 강화하는 것","④ 프로젝트 일정을 관리하는 것","① 요구사항의 변경을 통제하고 추적하는 것","요구사항 관리에서는 요구사항의 변경을 통제하고 추적하는 것이 중요합니다."
"mock",000000,5,"정보시스템구축관리",20,"시스템 구축에서 ‘프로토타입 개발’의 주된 목적은 무엇인가?","","① 요구사항을 명확히 하고 사용자 피드백을 얻는 것","② 시스템 성능을 분석하는 것","③ 시스템의 보안을 평가하는 것","④ 테스트 계획을 수립하는 것","① 요구사항을 명확히 하고 사용자 피드백을 얻는 것","프로토타입 개발은 요구사항을 명확히 하고 사용자 피드백을 얻는 중요한 방법입니다."
"mock",000000,5,"정보시스템구축관리",21,"시스템 구축에서 요구사항 수집의 중요한 목적은 무엇인가?","","① 시스템 설계를 개선하는 것","② 사용자의 요구를 정확히 파악하는 것","③ 시스템의 성능을 예측하는 것","④ 시스템을 신속하게 배포하는 것","② 사용자의 요구를 정확히 파악하는 것","요구사항 수집의 목적은 사용자의 요구를 명확하게 파악하는 것입니다."
"mock",000000,5,"정보시스템구축관리",22,"시스템 구축에서 '파일 시스템 설계'의 주요 목적은 무엇인가?","","① 데이터를 안전하게 저장하는 것","② 데이터를 효율적으로 관리하고 접근하는 것","③ 데이터베이스를 설계하는 것","④ 시스템을 배포하는 것","② 데이터를 효율적으로 관리하고 접근하는 것","파일 시스템 설계는 데이터를 효율적으로 관리하고 접근하는 방법을 정의합니다."
"mock",000000,5,"정보시스템구축관리",23,"정보시스템 구축에서 ‘프로젝트 차터(Project Charter)’의 주요 목적은 무엇인가?","","① 프로젝트 예산을 설정하는 것","② 프로젝트의 목표와 범위를 정의하는 것","③ 프로젝트 팀을 구성하는 것","④ 프로젝트 일정을 관리하는 것","② 프로젝트의 목표와 범위를 정의하는 것","프로젝트 차터는 프로젝트의 목표와 범위를 정의하는 중요한 문서입니다."
"mock",000000,5,"정보시스템구축관리",24,"시스템 구축에서 ‘사용자 요구사항’의 중요성은 무엇인가?","","① 사용자의 요구를 만족시키지 않으면 프로젝트가 실패할 수 있기 때문에","② 사용자가 개발자를 관리하기 위해서","③ 사용자가 시스템의 테스트를 위해서","④ 사용자가 시스템을 최적화하기 위해서","① 사용자의 요구를 만족시키지 않으면 프로젝트가 실패할 수 있기 때문에","사용자 요구사항을 반영하지 않으면 시스템은 실제 사용자의 필요를 충족시키지 못해 프로젝트가 실패할 수 있습니다."
"mock",000000,5,"정보시스템구축관리",25,"시스템 구축에서 ‘인수 테스트’가 중요한 이유는 무엇인가?","","① 시스템 성능을 최적화하는 것","② 시스템이 요구사항을 충족하는지 검증하는 것","③ 시스템 보안을 강화하는 것","④ 사용자 인터페이스를 개선하는 것","② 시스템이 요구사항을 충족하는지 검증하는 것","인수 테스트는 시스템이 요구사항을 충족하는지 확인하는 중요한 단계입니다."
"mock",000000,5,"정보시스템구축관리",26,"시스템 구축에서 '리스크 관리'의 주요 활동은 무엇인가?","","① 리스크를 예측하고 대응 계획을 세우는 것","② 리스크를 무시하는 것","③ 리스크가 발생한 후에 대처하는 것","④ 리스크를 다른 팀에 넘기는 것","① 리스크를 예측하고 대응 계획을 세우는 것","리스크 관리는 리스크를 예측하고 적절한 대응 계획을 세워 프로젝트 성공을 돕습니다."
"mock",000000,5,"정보시스템구축관리",27,"시스템 구축에서 ‘프로토타입’의 주요 장점은 무엇인가?","","① 시스템을 신속하게 배포하는 것","② 사용자의 피드백을 빠르게 받을 수 있는 것","③ 시스템의 성능을 예측하는 것","④ 시스템 보안을 강화하는 것","② 사용자의 피드백을 빠르게 받을 수 있는 것","프로토타입 개발은 사용자의 피드백을 신속하게 받을 수 있어 시스템 요구사항을 조기에 조정할 수 있는 장점이 있습니다."
"mock",000000,5,"정보시스템구축관리",28,"시스템 구축에서 ‘디자인 패턴’을 사용하는 주된 이유는 무엇인가?","","① 시스템 성능을 최적화하는 것","② 코드의 재사용성을 높이고 유지보수를 용이하게 만드는 것","③ 시스템을 쉽게 배포하는 것","④ 테스트 계획을 수립하는 것","② 코드의 재사용성을 높이고 유지보수를 용이하게 만드는 것","디자인 패턴은 코드의 재사용성을 높이고 유지보수를 용이하게 만드는 데 사용됩니다."
