test,date,snumber,sname,qnumber,qname1,qname2,example1,example2,example3,example4,answer,explain
"mock",000000,3,"데이터베이스구축",1,"데이터베이스 설계에서 '정규화'의 주요 목적은 무엇인가","","① 데이터 중복을 최소화하여 저장 공간을 절약하는 것","②데이터 무결성을 강화하는 것","③ 데이터를 빠르게 검색하는 것","④ 데이터 삽입 속도를 증가시키는 것","① 데이터 중복을 최소화하여 저장 공간을 절약하는 것","정규화는 데이터 중복을 최소화하고 무결성을 높이기 위해 데이터를 분리하여 관계형 데이터베이스를 설계하는 기법입니다."
"mock",000000,3,"데이터베이스구축",2,"SQL에서 'JOIN' 연산자의 목적은 무엇인가","","① 두 개 이상의 테이블을 연결하여 데이터를 조회하는 것","② 데이터를 정렬하는 것","③ 데이터를 필터링하는 것","④ 데이터를 삽입하는 것","① 두 개 이상의 테이블을 연결하여 데이터를 조회하는 것","JOIN 연산자는 여러 테이블을 결합하여 하나의 결과셋으로 데이터를 조회할 수 있게 합니다."
"mock",000000,3,"데이터베이스구축",3,"데이터베이스에서 '인덱스'의 주요 목적은 무엇인가","","① 데이터를 빠르게 검색하는 것","② 데이터를 삽입하는 속도를 증가시키는 것","③ 데이터를 정렬하는 것","④ 데이터를 삭제하는 것","① 데이터를 빠르게 검색하는 것","인덱스는 데이터 검색 속도를 개선하기 위해 테이블의 특정 열에 대한 추가적인 자료 구조를 생성하는 기술입니다."
"mock",000000,3,"데이터베이스구축",4,"정규형 중 2NF(Second Normal Form)의 조건은 무엇인가","","① 부분 함수 종속성을 제거해야 한다","② 이행적 함수 종속성을 제거해야 한다","③ 함수 종속성이 존재하지 않아야 한다","④ 데이터 중복을 제거해야 한다","① 부분 함수 종속성을 제거해야 한다","2NF는 기본 키가 아닌 모든 속성이 기본 키에 완전 함수 종속성을 가지도록 하는 정규화입니다."
"mock",000000,3,"데이터베이스구축",5,"트랜잭션의 ACID 속성 중 '일관성'의 의미는 무엇인가","","① 트랜잭션이 완료되면 데이터베이스가 일관된 상태를 유지해야 한다","② 트랜잭션이 중간에 실패하더라도 원래 상태로 복구되어야 한다","③ 트랜잭션은 서로 독립적으로 실행되어야 한다","④ 트랜잭션은 항상 성공적으로 완료되어야 한다","① 트랜잭션이 완료되면 데이터베이스가 일관된 상태를 유지해야 한다","일관성은 트랜잭션이 완료되었을 때 데이터베이스가 정의된 규칙을 만족하는 상태를 유지해야 한다는 것을 의미합니다."
"mock",000000,3,"데이터베이스구축",6,"ERD(Entity Relationship Diagram)에서 '관계'를 나타내는 기호는 무엇인가","","① 다이아몬드","② 원","③ 직선","④ 사각형","① 다이아몬드","ERD에서 관계는 다이아몬드 모양의 기호로 나타내어 두 개 이상의 엔티티 간의 관계를 설명합니다."
"mock",000000,3,"데이터베이스구축",7,"데이터베이스에서 '무결성 제약 조건'의 목적은 무엇인가","","① 데이터의 정확성, 신뢰성, 일관성을 보장하는 것","② 데이터 중복을 최소화하는 것","③ 데이터를 빠르게 검색하는 것","④ 데이터를 정렬하는 것","① 데이터의 정확성, 신뢰성, 일관성을 보장하는 것","무결성 제약 조건은 데이터가 정확하고 일관되며 신뢰할 수 있도록 보장하는 규칙입니다."
"mock",000000,3,"데이터베이스구축",8,"SQL에서 'GROUP BY' 절의 주요 기능은 무엇인가","","① 데이터를 그룹화하여 집계 함수와 함께 사용하기 위한 것","② 데이터를 정렬하기 위한 것","③ 데이터를 필터링하기 위한 것","④ 데이터를 결합하기 위한 것","① 데이터를 그룹화하여 집계 함수와 함께 사용하기 위한 것","GROUP BY는 특정 열을 기준으로 데이터를 그룹화하여 집계 함수를 적용하는 데 사용됩니다."
"mock",000000,3,"데이터베이스구축",9,"SQL에서 'HAVING' 절의 주요 역할은 무엇인가","","① GROUP BY로 그룹화된 결과에서 조건을 필터링하는 것","② 특정 컬럼을 선택하는 것","③ 데이터를 정렬하는 것","④ 데이터를 삽입하는 것","① GROUP BY로 그룹화된 결과에서 조건을 필터링하는 것","HAVING은 GROUP BY 결과에서 조건을 지정하여 필터링할 때 사용됩니다."
"mock",000000,3,"데이터베이스구축",10,"데이터베이스에서 '스키마'란 무엇인가","","① 데이터베이스 객체들의 구조와 관계를 정의하는 청사진","② 데이터의 값 자체","③ 데이터베이스의 크기","④ 데이터베이스 서버의 위치","① 데이터베이스 객체들의 구조와 관계를 정의하는 청사진","스키마는 데이터베이스의 구조를 정의하며, 테이블, 뷰, 인덱스 등의 데이터베이스 객체를 포함합니다."
