test,date,snumber,sname,qnumber,qname1,qname2,example1,example2,example3,example4,answer,explain
"mock",000000,4,"프로그래밍언어활용",1,"자바에서 변수의 기본 자료형은 무엇인가?","","①String","②int","③ArrayList","④HashMap","②int","자바에서 기본 자료형으로는 int, char, double 등이 있습니다."
"mock",000000,4,"프로그래밍언어활용",2,"자바에서 문자열을 비교할 때 사용하는 메서드는 무엇인가?","","①compare()","②equals()","③==","④compareTo()","②equals()","equals() 메서드는 두 문자열이 동일한지 비교하는 데 사용됩니다."
"mock",000000,4,"프로그래밍언어활용",3,"자바에서 배열의 크기를 동적으로 변경할 수 있는 자료구조는 무엇인가?","","①Array","②LinkedList","③HashSet","④ArrayList","④ArrayList","ArrayList는 크기를 동적으로 변경할 수 있는 자료구조입니다."
"mock",000000,4,"프로그래밍언어활용",4,"자바에서 클래스의 생성자는 무엇을 의미하는가?","","①클래스의 이름을 지정한다.","②객체를 생성하는 메서드이다.","③클래스를 수정하는 메서드이다.","④객체를 삭제하는 메서드이다.","②객체를 생성하는 메서드이다.","생성자는 객체를 초기화하는 메서드로, 클래스의 이름과 동일해야 하며 반환 값이 없습니다."
"mock",000000,4,"프로그래밍언어활용",5,"파이썬에서 리스트의 요소를 추가하는 메서드는 무엇인가?","","①append()","②insert()","③add()","④push()","①append()","append()는 리스트의 마지막에 요소를 추가하는 메서드입니다."
"mock",000000,4,"프로그래밍언어활용",6,"파이썬에서 딕셔너리의 값을 가져오는 방법은 무엇인가?","","①dict.get()","②dict()","③dict.retrieve()","④dict.fetch()","①dict.get()","get() 메서드는 딕셔너리에서 지정된 키의 값을 가져오는 데 사용됩니다."
"mock",000000,4,"프로그래밍언어활용",7,"C에서 문자열의 끝을 나타내는 특수 문자는 무엇인가?","","①\t","②\n","③\0","④\b","③\0","문자열의 끝은 '\0'로 표시되며, 이는 널 종료 문자를 나타냅니다."
"mock",000000,4,"프로그래밍언어활용",8,"C에서 포인터의 주소를 출력하는 함수는 무엇인가?","","①print()","②printf()","③scanf()","④write()","②printf()","printf() 함수는 포인터의 주소를 출력하는 데 사용됩니다."
"mock",000000,4,"프로그래밍언어활용",9,"자바에서 인터페이스의 목적은 무엇인가?","","①클래스 간의 상속을 지원한다.","②객체를 생성한다.","③구현을 강제하는 계약을 정의한다.","④메서드를 선언한다.","③구현을 강제하는 계약을 정의한다.","인터페이스는 클래스가 구현해야 하는 메서드의 계약을 정의합니다."
"mock",000000,4,"프로그래밍언어활용",10,"C++에서 상속을 구현할 때 사용하는 키워드는 무엇인가?","","①implements","②extend","③inherit","④public","④public","상속을 구현할 때 'public'을 사용하여 부모 클래스의 멤버를 자식 클래스에서 사용할 수 있습니다."
"mock",000000,4,"프로그래밍언어활용",11,"자바에서 예외 처리를 위해 사용하는 키워드는 무엇인가?","","①catch","②error","③except","④throw","①catch","자바에서 예외를 처리하기 위해서는 try-catch 블록을 사용합니다."
"mock",000000,4,"프로그래밍언어활용",12,"파이썬에서 예외를 처리하는 구문은 무엇인가?","","①try-except","②try-catch","③if-else","④catch-finally","①try-except","파이썬에서는 try-except 구문을 사용하여 예외를 처리합니다."
"mock",000000,4,"프로그래밍언어활용",13,"C에서 메모리 동적 할당을 위한 함수는 무엇인가?","","①malloc()","②alloc()","③free()","④realloc()","①malloc()","'malloc()' 함수는 동적으로 메모리를 할당하는 함수입니다."
"mock",000000,4,"프로그래밍언어활용",14,"C++에서 생성자 오버로딩이 가능한 이유는 무엇인가?","","①생성자에 매개변수가 다를 수 있기 때문이다.","②C++은 매개변수를 처리하는 방식이 다르기 때문이다.","③생성자는 항상 한 번만 호출되기 때문이다.","④C++은 함수 이름을 변경할 수 있기 때문이다.","①생성자에 매개변수가 다를 수 있기 때문이다.","C++에서는 생성자의 매개변수를 다르게 하여 여러 개의 생성자를 정의할 수 있습니다."
"mock",000000,4,"프로그래밍언어활용",15,"자바에서 'this' 키워드는 무엇을 나타내는가?","","①현재 객체를 참조한다.","②클래스를 참조한다.","③메서드를 참조한다.","④변수 값을 참조한다.","①현재 객체를 참조한다.","'this'는 현재 객체를 참조하는 키워드로, 인스턴스 변수와 메서드를 구분할 때 사용됩니다."
